"name","external_id","details","notes","group_name","tags"
"Test Account",1,,,,
"Symplified SE Team",40,"on prem",,,
"J's Communication Co., Ltd",41,"EC2","12/12: Deployed in 1 week, 7 hours",,
"RAAH Technologies",44,"on prem",,,
"Coty Inc.",45,"on prem",,,
"Design Within Reach, Inc.",46,"EC2",,,
"Merit Medical Systems",47,"on prem","12/19: Wanting to outsource to ICSynergy",,
"Pfizer",48,"on prem",,,
"Apartment Investment and Management Company",49,"on prem","4/28: They are doing nothing.",,
"Identropy",50,"on prem",,,
"Elan Pharmaceuticals, Inc.",51,"EC2","4/30: Coordinate call with Lindsay re: no outlook. 4/9: Questions on mobile and whether to move IDR to DMZ. Want new adapter1/30: Things going well. Planning rollout in early Feb. Have some business issues with HR that is causing blocks.",,
"Symplified, Inc.",53,"on prem",,,
"Charming Shoppes Inc.",55,"on prem HA","5/23: Service Now is ready. Not yet scheduled the go-live cutover.",,
"Visiting Nurse Service of NY",56,"EC2","5/23: We are ready for UAT with Archive adapter. VNSNY is upset with themselves. User name mapping issues with enabling Archive.",,
"Moody's",57,"on prem HA","7/11: They have datacenter issues which is affecting IDR performance. They know it is their problem.",,
"Colorado Springs Utilities",60,"on prem HA","8/29: Not moving Taleo into production so big issue. Lohika looking into it?8/8: With Taleo, IWA, IE, and MS-Word doc, causes an issue. Parature ticket is created. This is preventing CSU from going live.",,
"Ivie & Associates",63,"EC2","8/29: Josh should follow up with call to Jay. 6/20: Josh will need to follow up",,
"Schumacher Group",64,"on prem","5/23: Eric visited them last week. Eric O wants to talk to me and Matthew about it. They went into Studio for the first time since Matthew's visit last week.",,
"Forest Pharmaceuticals",65,"on prem HA","5/23: They are in sales cycle with Joe to protect a SAP portal.",,
"American Hospital Association",66,"on prem","5/23: SocialTExt adapter upgraded 2 weeks ago. Don't know if it fixed the problem.",,
"Deutsche Telekom AG",67,"SPE","10/3: get update from Emerson9/19: Tech guys really like. (They are on 8.8 SPE). This is in Emerson's hands.9/14: Demo is done. Waiting for Emerson to do some business.",,
"Dolby Laboratories, Inc.",68,"EC2","8/25/11 - Went Live8/22/11-8/24/11: Avery on site for transition to Production",,
"Computer Sciences Corporation",69,"SPE","9/26: Same9/6: Cancel install8/29: Waiting on them to get us data and then them onto 8.10.18/1: Matthew has tried to reach out to CSC many times, and they are not responding. Melvin Vaughn is who he's been trying to reach. Matthew will email John E.",,
"Zurich North America",70,"on prem HA","4/9: Next go live is 4/13. Doing upgrade 4/104/2: Went live 3/30 but rollback (network issues?). Calls this week.",,
"Zeltiq",71,"EC2","6/27: They are live with 100 users. Mid-July is go live for external users. Official hand-off to support mode is scheduled for this week.",,
"Scripps Networks Interactive",72,"on prem HA","11/14: Call with Josh/Norm scheduled11/7: We are waiting again. Norm should reach out.9/6: Almost ready but portal issue7/25: We think custom portal is addressed. He is still working on it. No external deadline.",,
